date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:51	76/76	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2011:57:13%20GMT	https://archievents.in/robots.txt		(from )
17:12:52	167656/167656	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Aug%202025%2011:42:23%20GMT	https://archievents.in/	C:/My%20Web%20Sites/events/archievents.in/index.html	(from )
17:12:55	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2017%20Aug%202025%2011:42:25%20GMT	https://archievents.in/xmlrpc.php	C:/My%20Web%20Sites/events/archievents.in/xmlrpc.php	(from https://archievents.in/)
17:12:56	116345/116345	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Jul%202025%2018:22:29%20GMT	https://archievents.in/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/My%20Web%20Sites/events/archievents.in/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://archievents.in/)
17:12:57	2947/2947	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202025%2017:54:33%20GMT	https://archievents.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.1	C:/My%20Web%20Sites/events/archievents.in/wp-content/plugins/contact-form-7/includes/css/styles6a4d.css	(from https://archievents.in/)
17:12:59	9761/9761	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2013%20Jul%202023%2012:49:17%20GMT	https://archievents.in/comments/feed/	C:/My%20Web%20Sites/events/archievents.in/comments/feed/index.html	(from https://archievents.in/)
17:12:59	127301/127301	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2007:10:36%20GMT	https://archievents.in/wp-content/themes/ekko/core/assets/css/bootstrap.min.css?ver=2.2	C:/My%20Web%20Sites/events/archievents.in/wp-content/themes/ekko/core/assets/css/bootstrap.mindc8c.css	(from https://archievents.in/)
17:13:00	238308/238308	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2007:10:36%20GMT	https://archievents.in/wp-content/themes/ekko/style.css?ver=2.2	C:/My%20Web%20Sites/events/archievents.in/wp-content/themes/ekko/styledc8c.css	(from https://archievents.in/)
17:13:00	4093/4093	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2007:11:53%20GMT	https://archievents.in/wp-content/plugins/keydesign-addon/assets/css/photoswipe.css?ver=6.8.2	C:/My%20Web%20Sites/events/archievents.in/wp-content/plugins/keydesign-addon/assets/css/photoswipe6c2d.css	(from https://archievents.in/)
17:13:01	11664/11664	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2007:11:53%20GMT	https://archievents.in/wp-content/plugins/keydesign-addon/assets/css/photoswipe-default-skin.css?ver=6.8.2	C:/My%20Web%20Sites/events/archievents.in/wp-content/plugins/keydesign-addon/assets/css/photoswipe-default-skin6c2d.css	(from https://archievents.in/)
